"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
25/11/16,12:42:42,20.936,52.800,0.2429,0.2814,15.223,11.0
25/11/16,13:42:43,23.689,47.600,0.2414,0.2806,16.272,11.9
25/11/16,14:42:44,22.920,43.800,0.2407,0.2799,17.819,10.0
25/11/16,15:42:45,19.984,52.100,0.2378,0.2799,17.724,9.9
25/11/16,16:42:46,15.461,53.100,0.2356,0.2792,16.630,6.0
25/11/16,17:42:47,13.161,56.000,0.2334,0.2785,14.673,4.6
25/11/16,18:42:48,12.461,67.300,0.2320,0.2777,13.329,6.6
25/11/16,19:42:49,10.001,71.600,0.2305,0.2777,12.413,5.1
25/11/16,20:42:50,8.270,75.400,0.2291,0.2770,11.248,4.2
25/11/16,21:42:51,5.949,74.300,0.2284,0.2763,9.657,1.7
25/11/16,22:42:52,5.050,79.800,0.2276,0.2756,8.817,1.9
25/11/16,23:42:53,3.512,77.300,0.2269,0.2756,7.720,-0.1
26/11/16,00:42:54,2.021,76.500,0.2254,0.2748,6.737,-1.7
26/11/16,01:42:55,1.507,77.500,0.2247,0.2748,6.077,-2.0
26/11/16,02:42:56,0.024,75.700,0.2247,0.2741,5.488,-3.8
26/11/16,03:42:57,-0.535,76.500,0.2240,0.2734,4.895,-4.2
26/11/16,04:42:58,-0.704,76.700,0.2233,0.2734,4.480,-4.3
26/11/16,05:42:59,-1.100,76.600,0.2233,0.2727,4.194,-4.7
26/11/16,06:43:00,0.301,82.400,0.2225,0.2727,4.324,-2.3
26/11/16,07:43:01,6.585,91.300,0.2225,0.2727,6.889,5.3
26/11/16,08:43:02,12.413,70.300,0.2225,0.2727,10.663,7.2
26/11/16,09:43:03,16.106,44.200,0.2233,0.2719,11.565,3.9
26/11/16,10:43:04,20.770,41.500,0.2233,0.2719,11.346,7.2
26/11/16,11:43:05,21.819,42.800,0.2233,0.2712,12.920,8.6
26/11/16,12:43:06,21.199,40.400,0.2218,0.2712,15.557,7.2
26/11/16,13:43:07,24.992,38.300,0.2211,0.2705,16.272,9.8
26/11/16,14:43:08,25.477,42.700,0.2204,0.2698,18.319,11.9
26/11/16,15:43:09,22.633,47.200,0.2189,0.2698,18.295,10.8
26/11/16,16:43:10,21.748,56.400,0.2167,0.2698,17.915,12.7
26/11/16,17:43:11,19.627,62.200,0.2146,0.2690,18.081,12.2
26/11/16,18:43:12,14.745,67.900,0.2131,0.2683,15.819,8.9
26/11/16,19:43:13,12.606,77.700,0.2116,0.2683,14.290,8.8
26/11/16,20:43:14,10.785,82.600,0.2102,0.2683,13.161,8.0
26/11/16,21:43:15,10.222,86.800,0.2087,0.2676,12.074,8.1
26/11/16,22:43:16,7.945,84.500,0.2080,0.2676,11.248,5.5
26/11/16,23:43:17,5.796,79.800,0.2073,0.2676,9.731,2.6
27/11/16,00:43:18,4.947,82.200,0.2058,0.2668,8.742,2.2
27/11/16,01:43:19,3.958,82.200,0.2051,0.2668,7.995,1.2
27/11/16,02:43:20,3.142,81.100,0.2037,0.2668,7.343,0.2
27/11/16,03:43:21,2.584,81.000,0.2037,0.2661,6.788,-0.3
27/11/16,04:43:22,1.994,80.500,0.2029,0.2661,6.382,-1.0
27/11/16,05:43:23,1.615,80.500,0.2037,0.2683,6.000,-1.4
27/11/16,06:43:24,2.101,83.800,0.2022,0.2654,6.077,-0.4
27/11/16,07:43:25,9.361,98.900,0.2022,0.2654,11.394,9.2
27/11/16,08:43:26,15.867,75.000,0.2022,0.2647,10.026,11.5
