"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
24-01-2013,11:22:17,0.0577
24-01-2013,12:22:18,0.0584
24-01-2013,13:22:19,0.0591
24-01-2013,14:22:20,0.0591
24-01-2013,15:22:21,0.0584
24-01-2013,16:22:22,0.0577
24-01-2013,17:22:23,0.0562
24-01-2013,18:22:24,0.0548
24-01-2013,19:22:25,0.0540
24-01-2013,20:22:26,0.0533
24-01-2013,21:22:27,0.0526
24-01-2013,22:22:28,0.0526
24-01-2013,23:22:29,0.0526
25-01-2013,00:22:30,0.0526
25-01-2013,01:22:31,0.0526
25-01-2013,02:22:32,0.0526
25-01-2013,03:22:33,0.0526
25-01-2013,04:22:34,0.0526
25-01-2013,05:22:35,0.0533
25-01-2013,06:22:36,0.0533
25-01-2013,07:22:37,0.0533
25-01-2013,08:22:38,0.0533
25-01-2013,09:22:39,0.0533
25-01-2013,10:22:40,0.0540
25-01-2013,11:22:41,0.0540
25-01-2013,12:22:42,0.0548
25-01-2013,13:22:43,0.0555
25-01-2013,14:22:44,0.0562
25-01-2013,15:22:45,0.0555
25-01-2013,16:22:46,0.0555
25-01-2013,17:22:47,0.0548
25-01-2013,18:22:48,0.0548
25-01-2013,19:22:49,0.0540
25-01-2013,20:22:50,0.0540
25-01-2013,21:22:51,0.0533
25-01-2013,22:22:52,0.0533
25-01-2013,23:22:53,0.0533
26-01-2013,00:22:54,0.0533
26-01-2013,01:22:55,0.0533
26-01-2013,02:22:56,0.0533
26-01-2013,03:22:57,0.0533
26-01-2013,04:22:58,0.0533
26-01-2013,05:22:59,0.0540
26-01-2013,06:23:00,0.0598
26-01-2013,07:23:01,0.1071
26-01-2013,08:23:02,0.1274
26-01-2013,09:23:03,0.1419
26-01-2013,10:23:04,0.2385
26-01-2013,11:23:05,0.2298
26-01-2013,12:23:06,0.2247
26-01-2013,13:23:07,0.2204
26-01-2013,14:23:08,0.2167
26-01-2013,15:23:09,0.2131
26-01-2013,16:23:10,0.2109
26-01-2013,17:23:11,0.2073
26-01-2013,18:23:12,0.2051
26-01-2013,19:23:13,0.2058
26-01-2013,20:23:14,0.2066
26-01-2013,21:23:15,0.2058
26-01-2013,22:23:16,0.2058
26-01-2013,23:23:17,0.2058
27-01-2013,00:23:18,0.2051
27-01-2013,01:23:19,0.2044
27-01-2013,02:23:20,0.2037
27-01-2013,03:23:21,0.2029
27-01-2013,04:23:22,0.2029
27-01-2013,05:23:23,0.2022
27-01-2013,06:23:24,0.2015
27-01-2013,07:23:25,0.2008
27-01-2013,08:23:26,0.2022
27-01-2013,09:23:27,0.2189
27-01-2013,10:23:28,0.2269
