SITE,REP,DATE,HOUR,TEMP,
PRO1,1,25/11/11,1,3.897,
PRO1,1,25/11/11,2,5.154,
PRO1,1,25/11/11,3,6.724,
PRO1,1,25/11/11,4,7.038,
PRO1,1,25/11/11,5,7.289,
PRO1,1,25/11/11,6,7.227,
PRO1,1,25/11/11,7,10.177,
PRO1,1,25/11/11,8,11.118,
PRO1,1,25/11/11,9,12.56,
PRO1,1,25/11/11,10,15.757,
PRO1,1,25/11/11,11,15.255,
PRO1,1,25/11/11,12,17.26,
PRO1,1,25/11/11,13,13.877,
PRO1,1,25/11/11,14,15.005,
PRO1,1,25/11/11,15,15.882,
PRO1,1,25/11/11,16,14.817,
PRO1,1,25/11/11,17,13.501,
PRO1,1,25/11/11,18,12.999,
PRO1,1,25/11/11,19,11.431,
PRO1,1,25/11/11,20,10.741,
PRO1,1,25/11/11,21,10.49,
PRO1,1,25/11/11,22,10.239,
PRO1,1,25/11/11,23,10.302,
PRO1,1,26/11/11,0,10.114,
PRO1,1,26/11/11,1,10.051,
PRO1,1,26/11/11,2,9.988,
PRO1,1,26/11/11,3,10.114,
PRO1,1,26/11/11,4,9.926,
PRO1,1,26/11/11,5,9.926,
PRO1,1,26/11/11,6,9.737,
PRO1,1,26/11/11,7,9.8,
PRO1,1,26/11/11,8,10.239,
PRO1,1,26/11/11,9,11.996,
PRO1,1,26/11/11,10,12.936,
PRO1,1,26/11/11,11,10.177,
PRO1,1,26/11/11,12,13.312,
PRO1,1,26/11/11,13,10.867,
PRO1,1,26/11/11,14,14.629,
PRO1,1,26/11/11,15,7.98,
PRO1,1,26/11/11,16,8.168,
PRO1,1,26/11/11,17,8.419,
PRO1,1,26/11/11,18,6.787,
PRO1,1,26/11/11,19,6.473,
PRO1,1,26/11/11,20,6.41,
PRO1,1,26/11/11,21,6.661,
PRO1,1,26/11/11,22,6.599,
PRO1,1,26/11/11,23,6.787,
PRO1,1,27/11/11,0,7.101,
PRO1,1,27/11/11,1,6.975,
PRO1,1,27/11/11,2,6.724,
PRO1,1,27/11/11,3,6.599,
PRO1,1,27/11/11,4,6.473,
PRO1,1,27/11/11,5,6.473,
PRO1,1,27/11/11,6,6.473,
PRO1,1,27/11/11,7,7.917,
PRO1,1,27/11/11,8,8.106,
PRO1,1,27/11/11,9,11.745,
PRO1,1,27/11/11,10,15.882,
PRO1,1,27/11/11,11,18.575,
PRO1,1,27/11/11,12,22.142,
PRO1,1,27/11/11,13,21.016,
PRO1,1,27/11/11,14,22.142,
PRO1,1,27/11/11,15,23.955,
PRO1,1,27/11/11,16,22.705,
PRO1,1,27/11/11,17,20.578,
PRO1,1,27/11/11,18,17.636,
PRO1,1,27/11/11,19,11.87,
PRO1,1,27/11/11,20,10.428,
PRO1,1,27/11/11,21,9.235,
PRO1,1,27/11/11,22,8.043,
PRO1,1,27/11/11,23,7.164,
PRO1,1,28/11/11,0,7.792,
PRO1,1,28/11/11,1,6.975,
PRO1,1,28/11/11,2,6.975,
PRO1,1,28/11/11,3,6.347,
PRO1,1,28/11/11,4,6.096,
PRO1,1,28/11/11,5,7.352,
PRO1,1,28/11/11,6,7.289,
PRO1,1,28/11/11,7,9.173,
PRO1,1,28/11/11,8,10.616,
PRO1,1,28/11/11,9,17.385,
PRO1,1,28/11/11,10,20.265,
PRO1,1,28/11/11,11,21.078,
PRO1,1,28/11/11,12,22.392,
PRO1,1,28/11/11,13,23.705,
PRO1,1,28/11/11,14,24.455,
PRO1,1,28/11/11,15,24.08,
PRO1,1,28/11/11,16,25.393,
PRO1,1,28/11/11,17,24.393,
PRO1,1,28/11/11,18,23.768,
PRO1,1,28/11/11,19,16.133,
PRO1,1,28/11/11,20,10.365,
PRO1,1,28/11/11,21,10.929,
PRO1,1,28/11/11,22,10.365,
PRO1,1,28/11/11,23,10.428,
PRO1,1,29/11/11,0,10.051,
PRO1,1,29/11/11,1,9.926,
PRO1,1,29/11/11,2,10.616,
PRO1,1,29/11/11,3,10.804,
PRO1,1,29/11/11,4,10.051,
PRO1,1,29/11/11,5,11.682,
PRO1,1,29/11/11,6,11.808,
PRO1,1,29/11/11,7,13.062,
PRO1,1,29/11/11,8,16.383,
PRO1,1,29/11/11,9,13.877,
PRO1,1,29/11/11,10,24.83,
PRO1,1,29/11/11,11,24.018,
PRO1,1,29/11/11,12,24.205,
PRO1,1,29/11/11,13,25.33,
PRO1,1,29/11/11,14,26.205,
PRO1,1,29/11/11,15,26.58,
PRO1,1,29/11/11,16,30.451,
PRO1,1,29/11/11,17,30.888,
PRO1,1,29/11/11,18,23.205,
PRO1,1,29/11/11,19,17.135,
PRO1,1,29/11/11,20,13.501,
PRO1,1,29/11/11,21,11.055,
PRO1,1,29/11/11,22,12.435,
PRO1,1,29/11/11,23,11.996,
PRO1,1,30/11/11,0,12.497,
PRO1,1,30/11/11,1,11.494,
PRO1,1,30/11/11,2,11.055,
PRO1,1,30/11/11,3,12.623,
PRO1,1,30/11/11,4,12.874,
PRO1,1,30/11/11,5,12.811,
PRO1,1,30/11/11,6,12.56,
PRO1,1,30/11/11,7,12.999,
PRO1,1,30/11/11,8,13.626,
PRO1,1,30/11/11,9,12.623,
PRO1,1,30/11/11,10,13.877,
PRO1,1,30/11/11,11,10.741,
PRO1,1,30/11/11,12,9.549,
PRO1,1,30/11/11,13,8.796,
PRO1,1,30/11/11,14,7.603,
PRO1,1,30/11/11,15,8.106,
PRO1,1,30/11/11,16,8.733,
PRO1,1,30/11/11,17,6.599,
PRO1,1,30/11/11,18,6.222,
PRO1,1,30/11/11,19,4.4,
PRO1,1,30/11/11,20,1.383,
PRO1,1,30/11/11,21,-0.316,
PRO1,1,30/11/11,22,-2.078,
PRO1,1,30/11/11,23,-3.022,
PRO1,1,1/12/11,0,-3.211,
PRO1,1,1/12/11,1,-3.777,
PRO1,1,1/12/11,2,-4.155,
PRO1,1,1/12/11,3,-6.045,
PRO1,1,1/12/11,4,-5.352,
PRO1,1,1/12/11,5,-6.423,
PRO1,1,1/12/11,6,-4.722,
PRO1,1,1/12/11,7,-1.574,
PRO1,1,1/12/11,8,6.473,
PRO1,1,1/12/11,9,9.675,
PRO1,1,1/12/11,10,14.127,
PRO1,1,1/12/11,11,16.32,
PRO1,1,1/12/11,12,17.197,
PRO1,1,1/12/11,13,17.51,
